epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1592.82,1.4544,1.51721,1.15852,1.01699,0.71446,0.43812,0.53479,0.31609,0.71446,0.43812,0.54079,0.25921,nan,nan,nan,nan,0.0004358,0.0004358,0.0004358
81,1611.87,1.49168,1.54027,1.12118,1.0202,0.86227,0.5,0.60339,0.31347,0.76904,0.425,0.52741,0.25443,nan,nan,nan,nan,0.000416,0.000416,0.000416
82,1631.38,1.44362,1.57029,1.05392,1.00206,0.77844,0.525,0.60811,0.34041,0.57105,0.53264,0.52255,0.2651,1.31206,1.52097,1.03447,0.98673,0.0003962,0.0003962,0.0003962
83,1651.88,1.4521,1.67871,1.14365,0.95554,0.749,0.55,0.59053,0.3202,0.65006,0.475,0.51652,0.26338,1.30594,1.48604,1.10522,1.00679,0.0003764,0.0003764,0.0003764
84,1674.16,1.37601,1.67957,1.09928,0.98361,0.67882,0.55,0.53414,0.33207,0.67882,0.55,0.54622,0.27527,1.30944,1.46783,1.12012,1.02913,0.0003566,0.0003566,0.0003566
85,1694.42,1.44933,1.65449,1.13281,1.03974,0.59065,0.57721,0.52762,0.31856,0.56506,0.55221,0.5062,0.26082,1.24422,1.40411,1.09892,1.01334,0.0003368,0.0003368,0.0003368
86,1718.55,1.52081,1.63965,1.13491,1.02091,0.65607,0.55,0.58943,0.33862,0.58883,0.55,0.52568,0.25922,1.189,1.42099,0.99481,0.97547,0.000317,0.000317,0.000317
87,1740.54,1.36203,1.63898,1.01249,0.98308,0.76909,0.525,0.58541,0.34637,0.73247,0.5,0.55294,0.26908,1.18904,1.40732,1.03605,0.97875,0.0002972,0.0002972,0.0002972
88,1758.22,1.32502,1.35539,1.04078,0.97479,0.7698,0.575,0.58609,0.35282,0.7161,0.55,0.5695,0.30312,1.20942,1.46941,1.06443,1.00631,0.0002774,0.0002774,0.0002774
89,1779.93,1.38328,1.52245,1.0688,0.99241,0.8437,0.525,0.63771,0.34557,0.86576,0.425,0.55965,0.2759,1.2087,1.4923,1.01804,0.95991,0.0002576,0.0002576,0.0002576
90,1803.3,1.40988,1.63911,1.09535,0.97841,0.86372,0.525,0.62328,0.34988,0.72598,0.475,0.56335,0.25817,1.21869,1.48712,1.04302,0.96455,0.0002378,0.0002378,0.0002378
91,1825.29,1.42188,1.56718,1.01215,1.01036,0.75889,0.55082,0.59079,0.34702,0.75889,0.55082,0.60452,0.29908,1.20384,1.51224,1.00753,0.97459,0.000218,0.000218,0.000218
92,1847.28,1.3424,1.35886,0.9929,0.99477,0.7385,0.575,0.58118,0.35187,0.7385,0.575,0.60407,0.2955,1.24636,1.49958,1.04044,0.9997,0.0001982,0.0001982,0.0001982
93,1866.87,1.34181,1.38273,0.96664,0.99081,0.84922,0.56347,0.62847,0.36457,0.71123,0.55,0.57696,0.28043,1.26288,1.44391,1.01988,1.00499,0.0001784,0.0001784,0.0001784
94,1884.62,1.32609,1.41024,0.99695,0.96043,0.76284,0.6,0.61661,0.35912,0.68234,0.55,0.55819,0.27354,1.26189,1.43771,1.00357,0.99284,0.0001586,0.0001586,0.0001586
95,1903.44,1.33824,1.43183,0.98685,1.02984,0.70314,0.6,0.57308,0.33715,0.70314,0.6,0.57971,0.28214,1.21842,1.43971,0.97974,0.9802,0.0001388,0.0001388,0.0001388
96,1920.96,1.2407,1.37287,0.92341,0.96742,0.7248,0.6,0.59864,0.3439,0.75574,0.625,0.62126,0.29261,1.21527,1.44573,0.99366,0.99009,0.000119,0.000119,0.000119
97,1940.06,1.25159,1.36444,0.90608,0.97319,0.73516,0.55531,0.6062,0.34598,0.77192,0.59244,0.65491,0.29245,1.23447,1.47846,0.97043,0.9963,9.92e-05,9.92e-05,9.92e-05
98,1958.16,1.36666,1.49853,0.98059,0.98234,0.74299,0.57828,0.60882,0.35247,0.77738,0.61129,0.64339,0.30803,1.24657,1.48587,0.94703,1.01256,7.94e-05,7.94e-05,7.94e-05
99,1979.48,1.29296,1.4821,0.98194,0.98181,0.77513,0.575,0.61085,0.35548,0.78996,0.6,0.63898,0.31101,1.25516,1.48185,0.94257,1.00538,5.96e-05,5.96e-05,5.96e-05
100,1997.13,1.22665,1.23757,0.91112,0.95921,0.80299,0.575,0.618,0.36163,0.75351,0.575,0.60415,0.30971,1.24666,1.46757,0.94237,1.00658,3.98e-05,3.98e-05,3.98e-05
