epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,908.309,1.26419,0.86245,0.98177,0.7211,0.675,0.64796,0.40162,1.32293,1.12305,1.03373,0.00468747,0.00468747,0.00468747
159,914.452,1.23665,0.84243,0.99307,0.63313,0.55,0.54673,0.35037,1.48814,1.46391,1.11791,0.00463579,0.00463579,0.00463579
160,919.882,1.23554,0.82377,0.99466,0.68696,0.60356,0.60579,0.33898,1.54599,1.55898,1.12556,0.00458416,0.00458416,0.00458416
161,925.847,1.19677,0.77091,0.9471,0.78626,0.64389,0.67471,0.40973,1.4166,1.17392,1.0765,0.00453258,0.00453258,0.00453258
162,931.557,1.20157,0.7932,0.99021,0.8042,0.675,0.69767,0.428,1.3821,1.08065,1.06871,0.00448106,0.00448106,0.00448106
163,937.03,1.29984,0.97998,1.01706,0.90932,0.6,0.64611,0.40408,1.40095,1.04302,1.13372,0.0044296,0.0044296,0.0044296
164,942.97,1.21752,0.89199,1.0119,0.92043,0.575,0.68069,0.40949,1.45793,1.0426,1.16894,0.00437821,0.00437821,0.00437821
165,948.405,1.21798,0.77959,0.96894,0.88111,0.625,0.69719,0.44471,1.30675,1.02239,1.04702,0.00432689,0.00432689,0.00432689
166,954.49,1.26437,0.81244,1.00484,0.85445,0.7,0.7363,0.46856,1.43404,1.07314,1.0689,0.00427565,0.00427565,0.00427565
167,959.899,1.22546,0.803,0.99732,0.8406,0.65937,0.73331,0.44486,1.51484,1.20974,1.09577,0.00422449,0.00422449,0.00422449
168,966.098,1.24343,0.85552,0.96824,0.85666,0.65,0.72134,0.44789,1.41798,1.11759,1.09043,0.00417343,0.00417343,0.00417343
169,971.623,1.24048,0.80326,0.97485,0.88873,0.65,0.70802,0.43875,1.37222,1.03277,1.08324,0.00412246,0.00412246,0.00412246
170,977.67,1.19642,0.78723,0.95653,0.87875,0.625,0.7067,0.411,1.44889,1.00168,1.08638,0.0040716,0.0040716,0.0040716
171,983.354,1.24797,0.78378,0.966,0.91811,0.625,0.677,0.43317,1.36591,1.01791,1.04174,0.00402084,0.00402084,0.00402084
172,988.994,1.28173,0.78833,0.98857,0.87313,0.575,0.66906,0.40602,1.53506,1.1157,1.11056,0.00397019,0.00397019,0.00397019
173,994.768,1.20721,0.77535,0.95932,0.92687,0.55,0.58699,0.33442,1.8109,1.28713,1.18628,0.00391966,0.00391966,0.00391966
174,1000.3,1.19231,0.7995,0.9815,0.85036,0.56844,0.6081,0.33872,1.88647,1.36316,1.19077,0.00386926,0.00386926,0.00386926
175,1006.31,1.20108,0.76932,0.98514,0.81795,0.56186,0.5998,0.32772,1.87277,1.41223,1.20997,0.00381899,0.00381899,0.00381899
176,1011.64,1.24024,0.79082,0.97651,0.85108,0.5716,0.62184,0.37331,1.6514,1.28018,1.13312,0.00376885,0.00376885,0.00376885
177,1017.69,1.17916,0.80822,0.96397,0.78351,0.65,0.67331,0.40814,1.58359,1.25807,1.17306,0.00371885,0.00371885,0.00371885
178,1023.13,1.18871,0.75781,0.97977,0.91399,0.53151,0.67173,0.41091,1.56047,1.30086,1.14058,0.00366899,0.00366899,0.00366899
179,1029.17,1.20876,0.77593,0.97439,0.74276,0.64969,0.6546,0.39225,1.57864,1.14933,1.13665,0.00361929,0.00361929,0.00361929
180,1034.91,1.24069,0.77333,0.96956,0.88675,0.58748,0.6617,0.42741,1.4921,1.04128,1.12507,0.00356975,0.00356975,0.00356975
181,1040.54,1.1786,0.78415,0.94311,0.8863,0.58483,0.66683,0.45624,1.36648,0.95568,1.08383,0.00352037,0.00352037,0.00352037
182,1046.41,1.12259,0.74737,0.94789,0.80857,0.63376,0.70216,0.46418,1.36137,0.96357,1.08179,0.00347115,0.00347115,0.00347115
183,1051.86,1.20697,0.7805,0.97371,0.89926,0.65,0.72687,0.47614,1.24326,0.93082,1.03453,0.00342211,0.00342211,0.00342211
184,1057.96,1.21551,0.76677,0.9387,0.78835,0.625,0.69928,0.4008,1.4218,0.9958,1.06382,0.00337325,0.00337325,0.00337325
